hs_diploma,hispanic,white,black,employed,married,male,days_21,perc_days_drink,drinks_alcohol,student
1,0,0,1,1,1,1,3137,0,0,0
1,0,0,1,1,1,0,3198,0,0,0
0,1,0,0,1,0,0,581,0.547945205479452,1,0
0,0,0,1,1,0,1,2741,0,0,0
0,1,0,0,1,1,1,2741,3.287671232876712,1,0
1,0,0,1,1,0,0,2802,14.246575342465754,1,0
0,1,0,0,0,0,0,1767,0,0,0
1,0,1,0,1,0,0,64,3.287671232876712,1,0
1,1,0,0,1,1,0,2468,14.246575342465754,1,0
1,0,0,1,0,0,0,1555,14.246575342465754,1,0
0,1,0,0,1,1,0,153,1.095890410958904,1,0
0,1,0,0,0,1,0,884,0,0,0
0,0,1,0,0,1,0,-89,1.643835616438356,1,0
1,0,0,1,1,0,0,368,0.273972602739726,0,0
0,1,0,0,1,0,1,398,14.246575342465754,1,0
0,1,0,0,1,0,1,2286,14.246575342465754,1,0
0,1,0,0,0,1,0,-515,0,0,0
1,1,0,0,1,1,1,-485,6.575342465753424,1,0
1,1,0,0,1,0,1,1433,0,0,0
1,1,0,0,1,0,1,-28,0,0,0
1,0,0,1,1,0,0,1706,14.246575342465754,1,0
0,0,0,1,1,0,0,1403,0.821917808219178,1,0
0,1,0,0,0,1,0,673,0,0,0
1,0,0,1,1,1,0,3167,2.73972602739726,1,0
1,0,0,0,1,0,1,-910,0,0,0
1,0,0,1,1,0,1,2529,16.43835616438356,1,0
1,1,0,0,1,1,0,276,3.287671232876712,1,0
0,1,0,0,1,0,1,2802,28.493150684931507,1,0
1,0,0,1,1,0,1,2225,42.73972602739726,1,0
1,0,0,1,1,0,1,1129,28.493150684931507,1,0
1,1,0,0,1,1,1,1160,3.287671232876712,1,0
1,1,0,0,1,0,0,2774,14.246575342465754,1,0
1,0,0,1,0,0,0,2012,6.575342465753424,1,0
0,0,0,1,0,0,1,3259,0,1,0
1,1,0,0,1,0,0,1007,6.575342465753424,1,0
0,1,0,0,0,0,1,-148,0,0,0
0,0,0,1,1,0,0,521,3.287671232876712,1,0
1,0,1,0,1,1,0,3108,14.246575342465754,1,0
0,1,0,0,1,0,1,887,56.986301369863014,1,0
0,1,0,0,1,1,1,2134,0,0,0
1,1,0,0,1,1,1,2043,9.863013698630137,1,0
0,1,0,0,0,0,0,2894,0,0,0
0,1,0,0,1,0,1,2628,5.47945205479452,1,0
0,1,0,0,0,1,0,772,0,0,0
0,1,0,0,0,1,0,3177,0,0,0
1,0,0,1,1,0,0,1290,6.575342465753424,1,0
0,1,0,0,0,0,0,1259,0.547945205479452,1,0
0,1,0,0,1,0,1,-324,1.095890410958904,1,0
0,1,0,0,0,0,1,-1054,3.287671232876712,1,0
1,1,0,0,1,1,1,3085,14.246575342465754,1,0
0,1,0,0,0,0,0,-963,0,0,0
1,0,0,1,0,0,0,894,6.575342465753424,1,0
1,1,0,0,1,0,1,986,14.246575342465754,1,0
1,0,0,1,1,0,1,1806,3.287671232876712,1,0
1,1,0,0,1,0,0,1959,0,0,0
1,0,0,1,1,0,0,1137,0.821917808219178,0,0
0,0,0,1,0,1,0,1990,99.72602739726028,1,0
1,0,0,1,1,0,0,1198,3.287671232876712,1,0
1,0,0,1,1,0,0,651,0,0,0
0,1,0,0,1,0,1,-477,3.287671232876712,1,0
0,1,0,0,0,0,1,284,1.095890410958904,1,0
1,0,0,1,1,1,0,2871,3.287671232876712,1,0
1,1,0,0,1,0,0,2353,28.493150684931507,1,0
1,1,0,0,0,1,0,-477,0,0,0
1,1,0,0,0,0,0,2567,0,0,1
1,1,0,0,0,1,0,2626,0.273972602739726,0,0
1,0,1,0,0,0,0,-173,0,0,1
1,1,0,0,1,0,1,100,6.575342465753424,1,0
1,0,1,0,0,0,1,-143,19.726027397260275,1,1
1,0,0,1,0,0,1,2233,14.246575342465754,1,0
1,1,0,0,1,0,0,1257,0,0,0
0,0,0,1,1,0,1,1196,0,1,0
1,0,0,1,1,0,0,2841,6.575342465753424,1,0
1,0,0,1,0,0,1,253,0,0,1
0,0,0,0,1,1,0,1045,1.643835616438356,1,0
1,0,0,1,1,0,0,375,0,0,0
1,0,0,1,1,0,0,2779,0,0,0
1,0,0,1,1,0,0,3206,0,0,0
1,1,0,0,0,0,1,2902,3.287671232876712,1,0
1,1,0,0,1,1,0,2841,0.547945205479452,1,0
1,1,0,0,1,0,0,741,0,0,0
1,0,0,1,1,0,0,1653,0,0,0
0,1,0,0,0,1,0,527,0,0,0
1,1,0,0,1,1,0,2445,3.287671232876712,1,0
0,1,0,0,0,1,0,-569,0,0,0
1,0,0,1,1,0,0,1592,0,0,0
1,0,0,1,1,0,1,-265,0,0,0
1,1,0,0,1,0,1,3022,28.493150684931507,1,0
0,1,0,0,1,1,1,649,0.273972602739726,0,0
0,1,0,0,1,0,1,1501,42.73972602739726,1,0
0,1,0,0,1,1,1,1593,0.547945205479452,1,0
0,1,0,0,1,1,0,1075,0,0,0
1,1,0,0,1,1,0,2840,1.095890410958904,0,0
1,1,0,0,1,0,1,1501,71.23287671232876,1,0
1,1,0,0,0,1,0,-478,0,0,0
0,1,0,0,1,1,0,2993,3.287671232876712,1,0
1,1,0,0,0,0,0,2171,0.547945205479452,0,0
1,1,0,0,0,1,0,-113,0,1,0
0,1,0,0,0,0,0,-904,0,0,0
1,0,0,1,1,1,1,1744,3.287671232876712,1,0
0,0,1,0,1,0,0,-690,0,0,0
1,1,0,0,0,0,0,-1056,0,0,0
1,0,0,1,1,0,1,1713,14.246575342465754,1,0
0,1,0,0,0,0,0,1228,0,0,0
1,0,0,1,0,0,0,-964,0,0,1
1,0,0,1,1,0,0,3174,0,0,0
0,1,0,0,1,0,1,1501,14.246575342465754,1,0
0,0,0,1,1,0,0,2263,28.493150684931507,1,0
1,0,1,0,1,0,1,405,42.73972602739726,1,0
1,1,0,0,0,0,1,1805,0,0,0
0,1,0,0,0,0,1,2628,32.87671232876712,1,0
1,1,0,0,1,1,1,1958,3.287671232876712,1,0
1,1,0,0,0,0,1,802,0,0,1
0,1,0,0,0,1,0,3235,14.246575342465754,1,0
1,0,0,1,1,0,1,497,0,0,0
1,0,1,0,0,0,0,2475,14.246575342465754,1,1
1,1,0,0,1,0,0,-751,28.493150684931507,1,0
1,1,0,0,1,0,0,344,0,1,0
1,1,0,0,0,0,0,466,0.821917808219178,0,1
1,0,0,1,1,0,1,1989,9.863013698630137,1,0
1,1,0,0,1,0,1,2750,3.287671232876712,1,0
1,0,0,1,1,0,0,2050,0,0,0
1,0,0,1,1,0,0,3115,3.287671232876712,1,0
0,0,0,1,0,0,0,-202,0,0,0
1,0,0,1,1,0,0,-172,42.73972602739726,1,0
0,0,0,1,1,0,0,2110,6.575342465753424,1,0
1,1,0,0,1,1,1,2324,14.246575342465754,1,0
1,0,0,1,1,0,0,1685,3.287671232876712,1,0
1,0,0,1,1,0,0,1106,9.863013698630137,1,0
1,1,0,0,1,0,0,2202,3.287671232876712,1,0
1,0,0,1,1,1,0,2659,0,0,0
1,1,0,0,1,1,0,1836,0,1,0
1,0,1,0,0,0,0,163,0,0,0
1,1,0,0,0,0,0,1014,0,0,0
1,0,0,1,0,0,1,955,0,0,1
1,0,0,1,1,0,0,1289,0,0,0
1,0,0,1,1,0,0,-82,0.547945205479452,0,0
1,1,0,0,1,0,1,1744,3.287671232876712,1,0
1,1,0,0,0,0,0,2993,14.246575342465754,1,0
1,0,0,1,1,1,1,2050,0.547945205479452,1,0
1,1,0,0,1,1,1,3054,42.73972602739726,1,0
0,1,0,0,1,0,1,-287,14.246575342465754,1,0
0,1,0,0,1,1,0,2209,3.287671232876712,1,0
1,1,0,0,1,1,1,1784,6.575342465753424,1,0
1,1,0,0,1,0,1,139,1.643835616438356,1,0
0,1,0,0,0,1,0,2423,1.095890410958904,1,0
0,1,0,0,1,1,0,1144,0.547945205479452,0,0
1,1,0,0,0,1,0,-164,19.726027397260275,1,1
0,0,1,0,0,0,0,-864,1.095890410958904,1,0
1,1,0,0,1,1,0,658,0.547945205479452,0,0
1,1,0,0,0,0,1,-772,0,0,1
1,1,0,0,1,1,0,2666,0,0,0
1,1,0,0,1,0,0,2270,14.246575342465754,1,0
1,1,0,0,1,0,1,2727,28.493150684931507,1,0
1,0,1,0,1,1,1,48,71.23287671232876,1,0
1,0,0,1,1,0,0,779,0.273972602739726,0,0
1,0,0,1,0,1,0,2209,0,1,0
1,0,0,1,1,0,0,1600,0,0,0
1,0,0,1,1,0,0,1936,0,0,0
1,1,0,0,1,0,1,2788,3.287671232876712,1,0
1,0,0,1,0,0,1,567,28.493150684931507,1,1
0,1,0,0,1,0,0,1723,3.287671232876712,1,0
1,0,1,0,1,1,0,1297,3.287671232876712,1,0
0,1,0,0,0,0,1,-529,0,0,1
0,1,0,0,1,0,1,567,3.287671232876712,1,0
0,1,0,0,1,1,1,2574,0.273972602739726,0,0
